id	Token	POS	Semantic Tags
1199	میڈیا	NN2	M6 X7+ P1 B3 F1 M7/K5.1 T1.3
1200	سے بچنا	NN	Q4c
1201	اثر و رسوخ	VV0	A1.9 M1
1202	پیش	VV0	A2.2 A2.1+
1203	اسپیکر	JJ	A9- A2.2 Q2.2 S1.1.3+ Q4.3 O4.1 K4
1204	پتھر	NN1	Q2.1/S2mf G1.1/S2mf O3
1205	متعلقہ	VV0	F1 E3-
1206	لاگو	JJ	A1.2+ A1.5.2+
1207	اگست	VV0	Q2.2 A1.5.1 A1.2+ A1.8+ S7.1+
1208	وضاحت	NPM1	T1.3
1209	گہری	VV0	Q2.2/A7+ A2.2
1210	رابرٹ	NN1	W3/M4
1211	حاصل	NP1	Z1m
1212	آہستہ آہستہ	VVN	A9+ X9.2+
1213	نسبتا	RR	N3.8-
1214	حصص	RR	A13/A6
1215	ختم ہو گیا	VVZ	S1.1.2+
1216	سروے	JJ	T2- O4.1 X9.2-
1217	بہت بڑا	VV0	X2.4
1218	منظور	JJ	N3.2+++
1219	احاطہ	JJ	A6.2+
1220	جائزہ	VVN	A10- M1 N3.6 S8+ I1.1 A1.8+ N5 Q2.1 A1.1.1
1221	سمتھ	VV0	X2.4
1222	بند	NP1	Z1mf
1223	شکل	JJ	A10- T2-
1224	شادی	VV0	T2+ A2.1+ A1.8+ A3+ A1.1.1
1225	تجارتی	NN1	S4
1226	امداد	NN1	I2.2/Q2.2
1227	مجموعہ	VV0	S8+
1228	زندہ	NN1	A9+ I1 B5
1229	تقریر	VVG	H4 L1+
1230	افریقہ	NN1	Q2.1 Q3
1231	علاقائی	NP1	Z2
1232	فائدہ	JJ	M7
1233	بظاہر	VV0	S8+
1234	کوشش	RR	A8
1235	ایگزیکٹو	NN1	X8+ O2
1236	بعد	NN	I2.1/S2mf G1.1c S7.1+/S5+c
1237	مؤخر الذکر	RRR	T4-- T1.1.3 N4
1238	تقریب	DA	N4
1239	ناکامی	VV0	A1.1.1
1240	واپسی	NN1	X9.2- A5.1-/A2.1
1241	کرسی	VV0	M1 A9- N6
1242	حوالہ	VV0	S7.1+
1243	گھوڑے	VV0	Q2.2 Q1.2
1244	حملہ	NN1	L2mfn
1245	عملی	VV0	E3- G3 B2- A1.1.2 Q2.2
1246	ملکہ	NN1	Y1/P1
1247	مضامین	NN1	S7.1+/S2.1f S3.2/S2.2m K5.2
1248	کیریئر	VVZ	A1.1.1 S7.1+
1249	بار...	VV0	N3.8+
1250	سرکاری	VV0	S7.4- A1.7+ S8-
1251	متن	NN1	G1.1/S2mf S7.1+/S2mf
1252	ظاہر	NN1	Q1.2 Q4.1
1253	علیحدہ	VVZ	A8 A10+ A3+ G2.1 K4 Q4
1254	طالب علم	VV0	A6.1- S3.1-
1255	فروخت	NN1	P1/S2mf
1256	چھٹی	VV0	I2.2
1257	بڑے	VV0	K1/T1.3
1258	کھلا	JJR	N3.2++ N5++ A11.1++
1259	ترقی	VV0	A10+ T2+
1260	ابتدائی	VV0	A5.1+/A2.1 T2++ A2.1+ M1
1261	مدد	RR	T4+
1262	دورے	JJ	S8+
1263	مسکرایا	VV0	S1.1.1 M1
1264	اسٹاک	VVD	E4.1+
1265	میموری	VV0	A9+
1266	محض	NN1	X2 X2.2+ S7.2+ Y2
1267	سٹوڈیو	RR	A13.6 A14
1268	اہم	NN1	C1/H2 Q4.3/H1c H1
1269	ڈال	VV0	A1.1.1
1270	کھانے	VVG	M2 Q2.1 Q2.2 A1.1.1
1271	رائے	VV0	F1/B1 A1.5.1/N5+
1272	افہام و تفہیم	NN1	X2.1 X2.1/A5 X6+
1273	باقاعدہ	NN1	X2.5+
1274	چیف	NN1	N6+/S2mf G3/S2mf
1275	متوجہ	NN1	S7.1+
1276	فرموں	VVN	C1 M2 A9+ X5.1+ I1.2 O4.2+ X2.1 K5.1
1277	باقیات	NN2	I2.1/S5+c
1278	سہولیات	NN2	N5.2+/A1.5.1- L1- H1/T1.1.1
1279	اقدار	NN2	H1 O2 S8+ X9.1+
1280	ضلع	NN2	A11.1+ I1.3 G2.2 A4.1 N1
1281	کاریں	NN1	M7
1282	واجب	NN2	M3fn
1283	کھٹمل	NN1	E3- X2.4/A10- 
1284	شروع	UH	Z4
1285	منظم	VV0	T2+
1286	وصول	JJ	S7.1+ A1.1.1 X9.2+
1287	کونے	VV0	A9+ S5+
1288	تصویر	VV0	A1.7+ S7.1+ M3
1289	کنارے	VV0	A6.1+ A8 X3.4 X2.1 C1
1290	بہن	VV0	A1.1.1 M1
1291	سیاست	NN1	S4f S9/S2.1f B3/S2.1f S2.1f A2.2
1292	اظہار	NN	G1.2c
1293	بجائے	NN1	Q3 E1/B1
1294	اثر	RR	A6.1-
1295	سہ ماہی	VV0	A1.1.1
1296	مجبور	VV0	N5 H4
1297	اندر	JJ	S7.1+ A5.4-
1298	خیالات	RL	M6 G2.1@
1299	پیمانے	VVZ	X2.1 X3.4 X2.4
1300	پلانٹ	VV0	M1 A4.1 F1 B3
1301	نسل	VV0	F4 M2
1302	گیند	VV0	S7.3+ M1/N3.8+
1303	سونے	VV0	O4.4
1304	میں شامل	NN1	O1.1 O4.3 I1
1305	ہنری	VV0	A2.2 S5+ A1.8+ A1.1.1
1306	خرچ	NP1	Z1mf
1307	آواز	VV0	I1.2 A1.5.1 T1.3
1308	اکیلے	VV0	Q2.1
1309	اضافی	RR	S5- A14
1310	فوائد	JJ	N5++
1311	اعتماد	VVZ	S8+
1312	زیادہ تر	VV0	X2.1 A9- E6+ X2.6
1313	فائدہ	RR	A13.2
1314	منسلک	VV0	A5.1+
1315	اضافہ	VVN	A6.1+/X2.1 S3.1
1316	کھڑے	JB	N5+/A2.1
1317	والد	VVG	M6 M2 M8 T2++ N3 A3+ X2.1 A7 G1.2 S8+ S7.4+ I2.
1318	پاؤں	NN1	S4m
1319	کوئی	VV0	I1.2 N4
1320	درد	PN1	Z8mfc
1321	گیس	VV0	B2- E4.1-
1322	کپڑے	VV0	E3- Q2.1
1323	چھوٹے	NN2	B5
1324	فعال	JJR	N3.2-- N3.7-- N5-- T3-- A11.1-- S5--/I2.1 X3.2- A5.1--
1325	معاملات	NN1	A1.1.1
1326	ممکنہ طور پر	NN2	A1.1.1 S1.1.1 S3.2
1327	اضافہ	RR	A7+
1328	ریلوے	VV0	N5+/A2.1
1329	ختم	NN1	M3c
1330	احساس	VVN	T2-
1331	نیٹ ورک	NN1	X2.1 E1 X3
1332	رہنماؤں	VV0	Q4.3 Y2 S1.1.1
1333	بہر حال	NN2	S7.1+/S2mf A5.1+++/S2mf Q4.2 G2.1/S2mf
1334	وجہ	RR	Z4
1335	نصف	VV0	A2.2
1336	طاقتور	RR	N1 A13.4
1337	قدم	JJ	S7.1+ S1.2.5+ N3
1338	پیچیدہ	VV0	M1 S1.1.3+
1339	شمولیت اختیار	NN1	H1 B2-/X1
1340	معیاری	JJ	A2.2 S5+ A1.8+
1341	انعقاد	NN1	A5.1 G2.2 Q1.1 O2@
1342	احتیاط سے	NN1	A9+ I1.1+ M7/F4 S1.1.1
1343	لمبائی	RR	A1.3+
1344	ذہن	NN1	N3.7 T1.3 M4
1345	اضافہ	VV0	E6+ E2- S8+ A1.3
1346	طاقت	VV0	M1 N5+/A2.1 N3.2+/A2.1 S7.1+/A2.1 N3.7+/A2.1
1347	جرم	NN1	S1.2.5+ O4.1 S7.1+ X9.1+ N5
1348	مشکل	NN1	G2.1-
1349	ہوا	RR	O4.1 X8+ X5.2+ N5+ A12-
1350	مریم	VV0	M2 M1 B1 O4.4
1351	امکان	NP1	Z1f
1352	بننے	NN1	A7+
1353	نقصان	JJ	O4.2+
1354	ریکارڈز	VV0	A1.1.2
1355	کم	NN2	Q1.2 K3 T1.1.1 N5+
1356	بنیادی طور پر	VV0	N5-/A2.1 N3.2-/A2.1 A12-/A2.1 A2.2 F1
1357	کریڈٹ	RR	A13.2
1358	موسم سرما	VV0	I1.1 X2.1
1359	ناممکن	VV0	H4/T1.3
1360	انشورنس	JJ	A7- A12-
1361	وضاحت	NN1	I1/A15-
1362	فی الحال	JJ	Q2.2/A7+ A2.2
1363	جنگل	RR	T1.1.2
1364	قائم	NP1	Z3
1365	کہیں	JJ%	S7.1 O4.1 T2+ A2.1+ A1.8+ A3+ A1.1.1
1366	پہلے	RL	M6
1367	شروع	RRR	N4 T1.1.1 T4++
1368	خیال کیا	NN1	T2+
1369	گر	VVN	X2.1
1370	اعتماد	VV0	M1 N5-/A2.1 S7.1- L1- A1.8+ G2.2- X9.2- K5.2
1371	تبادلہ خیال	NN1	E6+ A10-
1372	رفتار	JB	Q2.2
1373	قانون سازی	VV0	N3.8+
1374	ذکر	NN1	G2.1
1375	ساتھ	JB	Q2.1
1376	نکالا	RP	M6
1377	بات چیت	VVD	M2 A9+ M1
1378	بحث	VVD	Q2.1
1379	ارادہ	VV0	Q2.2
1380	لاشیں	JJ	X7+
1381	پیغام	NN2	B1 O2 S5+
1382	وسط	NN1	Q1.1 Q1.3/Y2
1383	 جمع	NN1	M6 N5 N4 T1.2
1384	فراہمی	NN1	A5.1+ N2
1385	جنسی	VV0	A9-
1386	جلد	JJ	S3.2
1387	ایڈورڈ	VV0	A1.1.1/L2
1388	چیزیں	NP1	Z1m
1389	فراہم	VV0	M2 A1.1.1 F1 S7.1+@ Z4@
1390	مکمل طور پر	VVG	A9-
1391	سامنے	RR	A13.2
1392	گھریلو	VV0	M6 S7.1+ Q4.3
1393	 ضرورت	NN1	B4/S2mf
1394	ثابت	VV0	X7+ S6+
1395	اظہار	JB	A5.2+ X2.4
1396	علاج	VVD	Q1.1 B1%
1397	میچ	JJ	O4.1 B3
1398	حل	VV0	A6.1+
1399	پہلے	NN1	X4.2 O1.2
1400	آج رات	RR	N4
1401	مریض	RT	T1.1.2
1402	اصل	NN1	B2-/S2mf
1403	فارم	JJ	A5.4+ A14
1404	متحدہ	VV0	F4
1405	دور	VVN	S5+ A1.1.1
1406	تعمیر	RR	A13.3 N3.3+ X9.2+
1407	پہنچ	VV0	H1 A1.1.1 A5.1+/A2.1 N3.2+/A2.1
1408	تجاویز	VV0	M1 N3.3 Q2.1 X9.2+
1409	انتہائی	NN2	Q2.2 X7+ S3.2/Q2.2
1410	منتخب کریں	RR	A13.3
1411	وزراء	VV0	X7+
1412	تکنیکی	NN2	G1.1/S2mf S9/S2mf
1413	تازہ	JJ	Y1 I4 X9.1
1414	عام	JJ	T3- O4.2+ B1 W4 S1.2.3+
1415	منظر	JJ	A6.2+
1416	مواد	NN1	K4 C1 A8 A1.1.1 M7 S1.1.1 E3- E2+
1417	عجائب گھر	NN2	O1 B5 O2
1418	تھامس	NNL1	T1.1.1/H1c A10+/H1c
1419	بڑھائیں	NP1	Z1mf
1420	مضمون	VV0	M2 M1 A2.1+ E1 H4/A2.1
1421	روک تھام	VV0	G2.1/P1
1422	حصول	VV0	S8-
1423	اختیارات	VV0	A9+ X9.2+
1424	بینڈ	VVZ	A1.1.1
1425	جسٹس	VV0	S5+
1426	کھیلنا	NN1	G2.1+ G2.2+
1427	جانور	VV0	K1 K5.1 K5.2 K2 K3 A1.1.1 K6
1428	اندرونی	NN1	L2mfn S5+c O2c
1429	بہترین	NN1	M6 A10- G1.1
1430	چہرہ	JJ	A5.1+++
1431	امیر	VV0	M6 S1.1.1 X2.1 B5
1432	تشخیص	JJ	I1.1+ O4.1 N5+ X5.2+ E4.1+
1433	 بچانے	NN1	A5.1 G1.1/I1.2 P1
1434	الیکشن کمیشن	VV0	I1.1 B3 A9+ S8+ A1.9 K5.1 S9
1435	فون	NP1	Z2c
1436	منصفانہ	VV0	Q1.3
1437	فٹ بال	RR	A13.4 G2.2+
1438	دیکھا	NN1	K5.2
1439	ٹیلی فون	VVD	X3.4 S7.1 X2.4 A1.3+
1440	اقدامات	VV0	Q1.3
1441	فیصلہ	NN2	M1 T1.2 H5 A1.1.1 K1@
1442	ٹریفک	VV0	X6+
1443	دیکھتے ہیں	VV0	F3/G2.1- G2.1-/I2.2
1444	کافی	VV0	X3.4 S7.1 X2.4 A1.3+
1445	معاہدے	NN1	F2
1446	ماضی	VV0	A1.1.1 I2.2 I2.1 A9- K5.2 F3/I2.2
1447	عمارتوں	RL	M6
1448	تیزی	NN2	H1
1449	ریلیف	RR	A13.3
1450	فاصلے	NN1	E4.1+ A1.7- S8+ G3 B3 I1.1 I3.1/S2mf C1%
1451	تعارف	VV0	A1.9
1452	چالیس	NN1	T2+ Q4 S1.1.1
1453	انتظامیہ	MC	N1 T3
1454	نہیں	NN	S7.1+c A9-
1455	محفوظ	UH	Z4
1456	اطلاقی	NN1	O2
1457	نظر	VVN	Q2.2 A1.5.1 A1.2+ A1.8+ S7.1+
1458	مارک	VV0	X3.4
1459	جزائر	NP1	Z1m S9/O1.2
1460	ممکنہ	NNL1	W3
1461	بینکوں	NN1	A7+ O3
1462	ہاؤسنگ	VVZ	I1.1 X2.6+ M1
1463	معنی	NN1	H1
1464	وجود	NN1	X2.1 A11.1+ Q3 X7+
1465	دعوی	NN1	A3+
1466	شمالی	VV0	Q2.2 A9+
1467	لطف اندوز	JJ	M6
1468	کم	VV0	E2+ A9+ E4.1+
1469	برابر	JB	N5-/A2.1 N3.2-/A2.1 A12-/A2.1 A2.2 F1
1470	مذہبی	RR	A6.1+
1471	چلنا	JJ	S9
1472	بہت	VV0	M1 L2 X9.2+/A12+
1473	دیکھ	RG	A13.3
1474	ثقافتی	NN1	X3.4 S7.1 X2.4 A1.3+
1475	مشہور	JJ	C1 S1.1.1 S5+
1476	تازہ ترین	JJ	X2.2+
1477	ٹی وی	RRT	T4---
1478	کابینہ	NN1	Q4.3 S2.1/S2.2m
1479	ٹانگوں	NN1	H5 G1.1
1480	جاپان	VVZ	M1/N3.8+
1481	حقیقت	NP1	Z2
1482	مناسب	NN1	A3+ A5.2+
1483	ویڈیو	NN1	S9
1484	بدتر	VV0	Q4.3
1485	کھو	RRR	A5.1--
1486	دلیل	VV0	X9.2- A9- M6/A5.3- L1-
1487	ريل گاڈی	VVD	Q2.2
1488	روح	VV0	P1 K5.1
1489	اکاؤنٹس	VV0	M2
1490	مقدمے کی سماعت	VVZ	Q2.2
1491	ہدف	VV0	X2.4
1492	خوف	VV0	X7+
1493	مشترکہ	VV0	E5-
1494	شک	VV0	F1
1495	رسمی	VV0	A7-
1496	بے روزگاری	JJ	S1.2.1- G1.1 A6.2+ O4.2
1497	جیل	NN1	I3.1-
1498	حادثے	NNL1	G2.1/H1
1499	تصور	NN1	A1.1.2 A1.4
1500	محدود	NN1	X4.1
1501	عجیب	VVN	A1.7+
1502	خدمت	JJ	A6.2-
1503	دریافت	VVN@	S8+ S7.1- I2.2 A9- F1 A1.1.1 I3.1 K5.1 G2.1
1504	راک	VVN	A10+
1505	احاطہ	VV0	M1 M2 E5- K2
1506	معمول	VV0	A10- M1 N3.6 S8+ I1.1 A1.8+ N5 Q2.1 A1.1.1
1507	درخت	JJ	A6.2+
1508	مسکراہٹ	NN1	L3 S4
1509	قابل	VV0	E4.1+
1510	گرم	JJ	X9.1-
1511	ضرور	VV0	O4.6+ E2+
1512	تنظیم	RR	A7+
1513	جنگ	NN1	S5+c S7.1+
1514	تناسب	VV0	X8+ G3 E3-
1515	مشکل	VV0	A2.2/N3.2 O4.2
1516	ہفتے کے آخر میں	NN1	A12-
1517	تعمیر	NNT1	T1.3
1518	اٹھایا	NN1	H1 A1.1.1 O2 X2.1
1519	تقسیم	VVN	X7+ A1.1.1
1520	ڈنر	NN1	A9- N5
1521	شراب	NN1	F1
1522	جبکہ	VV0	F2
1523	کام	VV0	T1.3
1524	حاصل	VVZ	I3.1 A1.1.1 X9.2+ A2.2
1525	ورزش	JB	A9+
1526	تحریری طور پر	VV0	K5.1 A1.5.1
1527	پوچھ	NN1	Q1.2 I2.1
1528	دکھا	VVG	Q2.2 I1.3
1529	آگے	VVG	A10+ S1.1.1
1530	دیہی	RL	M6 N4 T1.1.3
1531	خوبصورت	JJ	F4/M7
1532	دو بار	NN1	S3.2
1533	عنصر	RR	N6
1534	راہ	VV0	N2
1535	گیمز	NN1	M3 M1 X4.2
1536	فنڈز	NN2	K5.1 K5.2 A1.1.1
1537	جبکہ	VVZ	I1.1
1538	کوئی نہیں	CS	Z5
1539	شکل	PN1	Z8/Z6cmf
1540	ابتدائی	VV0	O4.4 A2.2
1541	 ضروری	VV0	Q1.2
1542	کہا جاتا ہے	JJ	N3.2+ O4.1%
1543	جاتے ہیں	VVN	Q2.2 Q1.2
1544	سیٹ	VV0	A6.2+ A8 S8+ X5.1+
1545	بہتر	VV0	M2 N3.2/H1
1546	طرف	VV0	A5.1+/A2.1
1547	عیسائی	II	Z5
1548	شکریہ	NP1	Z1mf
1549	ہوائی جہاز	VVZ	S1.2.4+
1550	روشنی	NN	M5fnc
1551	رابطہ کریں	VV0	W2 O4.6+
1552	پرسکون	VV0	Q2.2
1553	بارش	VV0	X3.2- E3+ A1.1.1/N5-
1554	پس منظر	VV0	W4
1555	شناخت	NN1	T1.1.1 A2.2 M6 S1.1.1 P1 A11.1- A1.8-
1556	برعکس	VVN	X2.2+ A10+ X2.5+
1557	حکمت عملی	VV0	A6.1-
1558	اوسط	NN1	X7+
1559	ماسٹر	VV0	N2 A6.2+
1560	بھول	VV0	X9.1+
1561	قیادت	VV0	X2.2-
1562	نرم	NN1	S7.1+ A2.2 M2 A1.1.1
1563	مناسب	JJ	O4.5 X3.2- O4.3 O4.1 S1.2.5- A12+
1564	دیکھ	JJ	S1.2.6+ A5.1+ I1.3-
1565	پونڈ	VVG	X3.4 X2.1 S1.1.1 X2.5+ X2.3+ X3 A7+ S3.2
1566	بنیاد	VV0	A1.1.1 P1
1567	بلند	NN2	M6 W3 M7 O3 X2.1
1568	فوری طور پر	VV0	M2 N5+/A2.1 A5.1+/A2.1 X3.2++ A9+ A1.1.1 A2.2 S1.1.1 F4 Q2.2 S4
1569	مواصلات	JJ	N3.8+ T1.1.2/A11.1+ N4 N3.3- S4
1570	کلائنٹ	NN1	Q2.1 Q1.2 Q1.3 Q4.3
1571	پیرس	NN1	I2.2/S2mf
1572	ستارہ	NP1	Z2 Z1f
1573	چوتھا	VV0	Q1.2 K4/A11.1+
1574	موزوں	MD	N4
1575	مقرر	JJ	A1.2+
1576	چاہئے	VVN	A2.2 A7+ X6+
1577	تفصیل	VMK	S6+
1578	سب	VV0	Q2.2
1579	مشہور	PN1	Z8/N5.1+c
1580	برابر	JB	A11.1+
1581	تصور	VV0	A6.1+
1582	مقرر	VV0	X2.1 A5.2-
1583	انداز	VVD	S7.1+
1584	آزادی	NN1	S1.1.1 X4.2
1585	تفصیلی	NN1	A1.7-
1586	رکھنا	JJ	A4.2+
1587	انتخاب	NN1	A9+ N6+ T2++ A1.7+ A2.2 F4 S8+ H4
1588	جوڑی	NN1	X7+
1589	متوجہ	VV0	N5
1590	دیواروں	VV0	C1 M2 A9+ X5.1+ I1.2 O4.2+ X2.1 K5.1
1591	کام کرنا	VVZ	H2
1592	کال	NN1	I3.1 A1.1.1 X9.2+ A2.1+ A2.2 M7/I4@
1593	خطرہ	VV0	Q2.2 S1.1.1 Q1.3 S9%
1594	رویہ	NN1	A15- A7+
1595	صارف	NN1	X2.1/E1
1596	مجموعی طور پر	NN1	A1.5.1/S2mf
1597	پیشکش	RR	A14
1598	خواتین	VV0	A9- Q2.2
1599	ایڈنبرا	NN1	S2.1f
1600	نوٹ	NP1	Z2
1601	ڈر	VV0	Q2.1 Q1.2
1602	منتخب	JJ	E5- E4.1-
1603	جمہوری	VV0	X7+ A1.1.1
1604	داخل	JJ	G1.2
1605	عدالتوں	VVN	M1 S5+ Q1.2 T2+ A1.8+
1606	بڑھتے ہوئے	NN2	G2.1 H3 M7/K5.2
1607	مقصد	NN1	N3.2+/A2.1 A2.1+ A5.1+/A2.1 F4
1608	براہ راست	NN1	K5.1 X7+
1609	کافی	RR	O4.4 M6 N3.8+ A5.2+ N4
1610	وسط	JJ	N5
1611	ایجنسی	NN1	M6 N5 N4 T1.2
1612	سائنسی	NN1	I2.2/S5+c G1.1c
1613	بحران	JJ	Y1
1614	گلاب	NN1	A12-
1615	صحیح	VVD	M1 N5+/A2.1 N3.2+/A2.1 S7.1+/A2.1
1616	ہٹا	VV0	A5.3+/A2.1
1617	شہزادہ	JJ	S1.1.3-
1618	تھیٹر	NN1	S7.1+/S2.2m
1619	آئرش	NN1	K4/H1 K4 B3/H2 M7
1620	ڈالی	NN	Z2/S2mf Z2/Q3
1621	ایکٹ	VVN	M2 M1 L2 T2+ A1.1.1
1622	مہنگی	VVI	A1.1.1 T1.1.2 A8 K4
1623	نشانی	JJ	I1.3+
1624	تعلیمی	VV0	Q1.2 Q1.1 G2.1 I3.1 S9
1625	استعداد	JJ	P1
1626	بتانے	NN1	N3.2 N3.4 N5.1+ X9.1+ I3.1
1627	ہوتا ہے	VVG	Q2.2 Q2.1 X3 A10+
1628	بالکل	VVZ	A2.1+ A3+ X7-
1629	حالت	RR	A13.2 Z4
1630	مینیجرز	CS	Z5
1631	مکمل طور پر	NN2	S7.1+/S2mf K5.1/S2mf
1632	مواقع	RR	A13.2 N5.1+
1633	وجہ	NN2	A1.4
1634	وقفے	VV0	A2.2
1635	مرضی	VVI	A1.1.2 A1.1.1 A1.9 S5- T2- E4.1-/A2.2 A2.1+ T1.3 Q2.1@
1636	طریقہ کار	VV0	X7+
1637	احساس	NN1	X4.2
1638	پیداوار	NN1	X2.1 E1 X3
1639	ذہنی	VVN	Y2
1640	اکثر	JJ	X2 B2/X2 S1.2.6-
1641	پل	RR	N6+
1642	خطرناک	VV0	M1 A2.2/S3.1
1643	تو	JJ	A15-
1644	تسلیم	RR	Z5
1645	سب سے بڑا	NN1	X2.2+ X2.5+ S7.4+ G2.1+ S1.1.1
1646	پلٹنا	JJT	N3.2+++ N5+++ A11.1+++
1647	انتظامات	NN1	M2 M1 O4.4 A1.1.1 A2.1+ O4.2-
1648	فوری	NN2	Q2.2 S7.1+ O4.1
1649	غیر موجودگی	RR	N3.8+
1650	سزا	NN1	S1.1.3- A3-
1651	سوا	VV0	G2.1
1652	گزرنا	RL	M6
1653	کھیتوں	VV0	M1 A9- M2 K5.1 T1.3 T2- X9.2+ N5.2+ S7.4+ A5.4+/A8
1654	اہم	VVZ	K5.1 A1.1.1
1655	نشاندہی	JJ	Q2.2 A11.1+ A15-
1656	ثابت	JJ	O4.4
1657	سن	VV0	A5.2+ X2.4
1658	ریکارڈ	VV0	X3.2
1659	قیمت	JJ	Q1.2 K3
1660	دستخط	VVN	I1.3 I1.2
1661	پہاڑی	JJ	Q1.2 Q1.1 G2.1 I3.1 S9
1662	گرا دیا	NNL1	W3
1663	کارڈ	JB	M2 M1 N5-/A2.1 O1.2/M1 B2- T2- A9- A1.8- X9.2-/K5 X3.2
1664	دورے	VV0	B5
1665	سمجھ	VV0	M1
1666	ٹریک	VVN	X2.5+
1667	جزوی طور پر	VV0	X2.4
1668	تبدیل	RR	A13.6
1669	اضافہ	JJ	A2.1+ M2
1670	موسم	JB	N5+/A2.1
1671	اصولوں	VV0	A1.1.1
1672	سنجیدگی سے	NN2	G2.2 X4.1
1673	واقف	RR	A13.3 Z4 E4.1-
1674	متعلقہ	NN1	S9
1675	پیکج	JJ	A2.2 S4
1676	دوسری جگہوں پر	VV0	A1.1.1
1677	درس	RL	M6/A6.1-
1678	نیچے	NN1	P1 X4.1
1679	ضروری	NN1	N4 M6 B1 A5.1---
1680	عزم	RR	S6+
1681	کھلاڑی	NN1	X5.2+ A7+ S6+
1682	ڈبل	NN1	K6/S2mf K5.2/S2mf K2/S2mf S1.1.3+/S2mf K4/S2mf K3
1683	پرندوں	VV0	N5+/A2.1
1684	صحیح	NN2	L2mfn S2.1f
1685	جیک	RR	A5.3+ S1.2.4+ A13.3
1686	خطرہ	NP1	Z1m
1687	نوٹس	NN1	E3-/Q2.2 A15- X2.6+/O4.2- A7+
1688	امکان نہیں	VV0	X3.4+ A11.2+ Q2.2 X2.2+ S1.2.4+ G2.1
1689	اعتراف	JJ	A7-
1690	جواب	JJ	Q2.2 B3 A1.8+ S7.4+/M1
1691	خاموشی	VVD	Q2.2 Q1.1
1692	راستے	VV0	X3.2-
1693	فائل	VV0	M2 M6
1694	پسند	VV0	Q1.2 A1.1.1
1695	حمایت	JJ	E2+
1696	جاری	JB	S8+ O4.1 K5.1 I1.1 A10+
1697	کامل	JJ%	A9-
1698	فتح	VV0	A5.1+++
1699	بات چیت	NN1	X9.2+
1700	بڑے پیمانے پر	VV0	Q2.2
1701	واقع ہونا	RR	N5+ A4.2-
1702	دوسری	VV0	A2.1+ A3+ X2.1
1703	تشدد	VV0	S8+
1704	عنصر	NN1	E3-
1705	گردن	NN1	A4.1 N5 S5+c O1 O3 O2 W4
1706	لے کر	VV0	S3.2
1707	تنازعہ	NN1	M2 A9+ Q4 S7.4+ B1% B2-%
1708	ٹکڑے ٹکڑے	VV0	A6.1-
1709	ڈارلنگٹن	NN2	N5.1- O2 Q4 K2 K4 G3@
1710	کے تحت	NP1	Z2
1711	منافع	RP	M6
1712	رد عمل	VV0	S8+ I1.1
1713	ساتھیوں	NN1	A1.1.1 A6.1- B2- Y1
1714	تاریخی	NN2	I3.2/S2mf
1715	معیاری	JJ	T1.1.1 T3+
1716	آخر	NN1	A5.1 G2.2 Q1.1 O2@
1717	جمعہ	VV0	T2-
1718	خزانہ	NPD1	T1.3
1719	امید	VV0	I1
1720	پی پی	VV0	X2.6+ E4.1+ X9.2+ A5.1+
1721	کمرے	NNU2	Q1.2
1722	منصوبوں	NN2	H2
1723	قریب	NN2	X7+ X2.4
1724	یسوع	RR	A13.4 A4.2+ N3.3-
1725	فنڈ	NP1	Z1m Z1m/S9 Z4
1726	روزانہ	VV0	I1.1
1727	نیچے	NN1	Q4.2 B4/S2mf
1728	سیل	RL	M6
1729	لیورپول	NN1	B1 G2.1/H2 S9/H2 S5+c O3
1730	ٹام	NP1	Z2 Z3c
1731	جنوبی	NP1	Z1m
1732	اخراجات	JJ	M6
1733	اضافہ	NN1	I1.2
1734	نظم و ضبط	VVG	N5+/A2.1
1735	مکمل	VV0	G2.1 A1.7+
1736	واقع ہوئی ہے	JJ	T2- Q1.2
1737	انفرادی	VVN	A2.1+ A3+ X2.1
1738	موسم بہار	NN1	S2mf
1739	سامعین	VV0	M1 A2.2 Q2.1 G2.1-@ T1.3%
1740	قیادت	NN	K1/S2mfc S2mfc S1.1.3+
1741	ہزاروں	VV0	S7.1+ A2.2 M2 A1.1.1
1742	اضافہ	NNO2	N1 N5+ I1
1743	بات چیت	VV0	N3.2+/A2.1 A2.1+ A5.1+/A2.1 F4
1744	چھوٹے	NN1	Q2.1
1745	زور	NN1	T3-/S2mf
1746	تلاش	NN1	A11.1+
1747	موجود	NN1	A10+ X2.1 X6+
1748	جانچ پڑتال	VV0	A3+
1749	اکیلے	VV0	X2.4/A5.3 A15 Q1.2 T2- M5
1750	غور	RR	S5- A14
1751	بولنا	NN1	X2.1 X2.4 S1.2.3-
1752	سیکھنا	NN1	Q2.1
1753	وضاحت	NN1	X2.3+ P1
1754	تلاش	JJ	Q2.2 A2.2
1755	ظہور	VV0	X2.4
1756	برقرار	NN1	A10+ O4.1 A3+ G2.1 K5 Q4
1757	اختیار	VV0	A9+ T2++ S8+ A1.1.1 Q2.2
1758	خشک	NN1	X7+ I2.1 P1
1759	روشن	VV0	O1.2-
1760	شہری	JJ	O4.3 X9.1+ E4.1+
1761	تصاویر	JJ	M7
1762	اسٹیٹ	NN2	C1 Q4.3 X4.1
1763	قرض	NN1	M7/F4 H4 I1.1 M3
1764	نوجوانوں	NN1	I1.2
1765	نہ	NN1	T3-/S2mf T3-
1766	متاثر	RR	Z6
