language,word,NoneExpert1_tags,NoneExpert2_tags,NoneExpert3_tags,NoneExpert4_tags,gold standard tags
en,tester,"X2.4, Z84, Y1","X2.4, Z84",X2.4,"X2.4, X8, X6, Z84, F1, X7, Y2, I3.1","[X2.4, S2, X2.4]"
en,devilment,G2.2,G2.2,G2.2,G2.2,[G2.2]
en,caught,"G2.1, A1.7, X3, T4, Z84, M3, A9, A1.1.1","A1.1.1, K1, K6","X3, Z85, T2, A1.1.1, A9, T4, G2.1","A9, A10, K6","[A9, A1.7, G2.1, A10, T2, A1.1.1, X3, T4, M3]"
en,devoutly,"X2.1, S9","S9, X2.1","S9, X2.1","S9, X2.1","[X2.1, S9]"
en,rationalized,"Z84, C1, E4.2, E2, K2, O2","N3.2, Z84",X2.1,E1,"[N3.2, A2.1]"
en,movie,"Q4.3, K4, K1","Q4.3, K4, K1","Q4.3, K1","Q4.3, Z84",[Q4.3]
en,count,"N2, A11.1","A11.1, N2, P1","N2, N1, N3.1",N2,[N2]
en,sheet,"Q1.2, B5, N5, O2, Z85, Z84","Q1.2, Z84, O2, N5","Q1.2, N5, O2","Q1.2, N5","[B5, O2, Q1.2, N5]"
en,dislocate,"B2, Z84",B2,B2,"B2, Z84, B3",[B2]
en,cadre,G3,"S7.1, G1.1","S7.1, A4.1","G3, S7.1, S5, S3.1","[S7.1, S2]"
en,specialities,"Z84, A5.1, A4.2","A4.2, Z84","A4.2, A14, X9.1",C1,[A4.2]
en,deface,A1.1.2,A1.1.2,A1.1.2,"A1.1.2, E3, A2.1",[A1.1.2]
en,cleaning,"B4, B3",B4,"B4, B5, W5, M8",B4,[B4]
en,align,"M2, Z84, Z85, A6.1, S5","S5, M2, A6.1","O4.2, A8","A6.1, Z84, Z85, M2, S5","[M2, S5, A6.1, A2.1]"
en,disgusting,"O4.2, B4, B2",O4.2,O4.2,O4.2,[O4.2]
en,outsider,S5,"S5, Z84, A1.9, S1.1.3, S7.2, E1, E4.2, M6, S8",S5,S5,"[S5, S2]"
en,woke,"B1, Z84","X5.1, B1, B3","L3, B1, Z84","A1.1.1, B1, Z84",[B1]
en,altogether,"B5, Z84, Z85, A13.2, A1.8, N5.1, X7","A13.2, Z84, Z85, N5.1, A1.8, B5","A1.8, N5.1","A1.8, N5.1",[B5]
en,hasten,N3.8,"N3.8, Z84","N3.8, Z84, M1","N3.8, M1",[N3.8]
en,materializes,A10,"A3, A10","A3, A10","A3, A10","[A3, A10]"
en,no-show,"S1.1.3, A1.9","S1.1.3, Z84",S1.1.3,"Z84, E1, Q1.1, X6",[S1.1.3]
en,impossible,"A12, E6","A12, Z84, Z85, A7, E1, A6.1, E5","A7, A12",A12,"[A7, A12]"
en,salvation,S9,"S9, S8","S9, S8","G3, F1, P1, K3","[S9, S8]"
en,enemy,"S1.2.1, S8, A3, A2.2, S3.1","S1.2.1, S8",S1.2.1,"S8, S1.2.1","[S1.2.1, S2, S8]"
en,exclaims,"Q2.2, A1.1.1","E4.1, X7","Q2.2, Q2.1, X3.2","Q2.2, Z84",[Q2.2]
en,cyclist,"K5.1, M3","M3, Z84",M3,M3,"[M3, S2]"
en,stolen,"G2.1, E3, S8","P1, G2.1, Z84",G2.1,G2.1,"[G2.1, A9]"
en,knighthoods,"S7.1, Z3, S5","S7.1, S5, S2.2","S7.3, S6, S1.1.4","S7.1, Z84",[S7.1]
en,difficult,"A12, Z84","A12, Z84, E1","A12, Z84",A12,[A12]
en,checkout,"I1.3, T2, A9, I2.2","I2.2, Z84","I2.2, Z84, E1","I2.2, T2",[I2.2]
en,slow,A10,"T1.3, Z84, Z85, N3.8, A5.3","N3.8, T1.3, A5.3, X9.1","X9.1, N3.8, T1.3, Z84, A5.3, Z85, M1, K4, N6, O2","[N3.8, T1.3, X9.1, A5.3, T1]"
en,yawn,E1,"B1, X1","B1, B2","B1, Z84, X1",[B1]
en,star,"W1, A11.1, K4, O4.4","W1, K4, O4.4, Z84, Z3, A11.1",C1,"O4.4, A5.1, K4, A11.1, W1",[A11.1]
en,mattered,A11.1,"A11.1, Z84, S1.1.4","A11.1, Z84, E6, Y1",A11.1,[A11.1]
en,americans,"Z2, Z84","Z2, Z84",Z84,Z2,"[Z2, S2]"
en,rockets,"Y1, G3, Y2","Y1, G3, N5, Z84","G3, Y1","Y1, G3","[G3, Y1, W1, n]"
en,person,"S2, L1, B1",S2,S2,"S2, Z84",[S2]
en,fast,"N3.8, F1, Z84, Z85",N3.8,"F1, N3.8",N3.8,[N3.8]
en,energising,"S8, Z84",Z84,"S8, Z84, X5.1, F1, O3",S8,[S8]
en,sound,"X3.2, Q2.2, B2, B1","X3.2, Z85","X3.2, B2, A13.2, O4.1, A5.1, A8, Q2.2",X3.2,"[O4.1, B2, A5.1, A13.2]"
en,reproach,Q2.2,Q2.2,"Q2.2, S1.2.4","Q2.2, Z84","[Q2.2, G2.2]"
en,truck,M3,"M3, Z84","M3, M1","M3, Z84, M1, M2","[M3, n]"
en,marching,"M1, G3, Z84, G1.2","M1, G3","M1, G3, G1.2","G3, M1","[M1, G3, G1.2]"
en,case,"G2.1, X4.1, A4.1, B3, O2","G2.1, Z85, A4.1, O2, X4.1, Z84, B3, Q3","G2.1, A4.1, X4.1, B3, A11.2, G2.2, S9","G2.1, A4.1","[A4.1, O2, G2.1, B3, X4.1, Q3]"
en,christmases,"S9, Z84",S9,S9,"S9, Z84","[S9, T1.3]"
en,bridge,"K5.2, Z84, B3, H1, M1, W3, H2, A2.2, O2","H2, O2, A2.2, W3, M1, H1","B1, Z84, Z85, B3, A2.2, O2, K5.2, W3","H1, B1, O2, A2.2, W3, M1, K5.2, H2","[H1, W3, A2.2, S3.1, H2, M4, B1, B3, O2, K5.2]"
en,farm,"F4, F1","F4, Z84","F4, Z84","F4, Z84","[F4, M7]"
en,apt,A1.2,A1.2,A1.2,"A11.1, A1.2",[A1.2]
en,busy,"A1.1.1, X5.1",A1.1.1,"X5.1, A1.1.1","X5.1, Z84, A1.1.1, P1, I4, T2, M7","[A1.1.1, N5]"
en,back,"N6, T1.1.1, S8, M1, B1, K5.1, K2, S1.1.2, H2","T3, T1.1.1, M1","B1, M6, M1","T1.1.1, T3, M1, M6","[M6, T3]"
en,cinema,"Q4.3, K1","Q4.3, Z84, K1","Q4.3, K1","Q4.3, Z84","[Q4.3, H1, Q4.3]"
en,monopolise,"S5, S7.1, K6, A8, A1.7","S7.1, S5",S7.1,S7.1,"[S7.1, S5]"
en,airdrome,"M5, Z84",M5,M5,"M5, Z84","[M5, M7]"
en,halting,"M8, T2","T2, M8, A1.7, S8",T2,"T2, Z84, M8","[T2, M8]"
en,dream,"A5.2, Z84, X7, X2.1, X4.1, X2","X2.1, X4.1","X2.1, X4.1","Z84, X2, X2.1, X7","[X4.1, X7, A5.2]"
en,relationship,"A2.2, S3.1, S4, S3.2, A1.2, E2, X4.1","S3.2, S4","S3.2, S3.1, S4","Z84, Z85, S4","[S3.1, S3.2, A2.2, S4]"
en,second,"T1.2, P1, S8, T1.3","N4, T1.2, T1.3, P1, O2",N4,"T1.2, N4, T1.3, O2, S8",[N4]
en,tattooed,C1,C1,"C1, Z84, H1, K5.1",C1,"[C1, B1]"
en,vehicle,"M3, M5, M4, Z84, B4, X7, K6, X4.2, X4.1","X4.2, Z84, M3","M3, M2",M3,"[M3, n, X4.2]"
en,calm,"E4.2, E3","E4.2, E3, S1.2.6, E1","E3, E4.2","E3, E4.2","[E3, E4.2]"
en,newspaper,Q4.2,"Q4.2, Z84","Q4.2, A4.2, A4.1, W4, G1.2, G2.1, G1.1, I2.1","Q4.2, K1, A4.2",[Q4.2]
en,paper,"O2, O4.5, O1.1, Q4.2, Q1.2, P1, C1, H5","Q1.2, Q4.2, O1.1, P1","Q1.2, Q4.2, O1.1","Q1.2, Q4.2, Z84, C1, O1.1, P1","[Q4.2, O1.1, Q1.2, P1, Q1.2, H5]"
en,smooth,"O4.5, X3.3, A12","X3.3, O4.5, A12","X3.3, O4.5, O1.1, O4.1, O4.3, O2, O4.2, A12",X3.3,[O4.5]
en,woman,"S2.1, Z84",S2.1,"S2.1, B1, L2, E6, S3.1",S2.1,[S2.1]
en,farmer,"F4, F1","F4, Z84, F1, W5",F4,"F4, Z84","[F4, S2]"
en,deep,"N3.7, A4.2, X3.2, O4.3, W3, N5, E4.1","N3.7, X3.2","N5, N3.7, Z84, Z85, E4.1, O4.3, X3.2, W3, A4.2","E4.1, W3, A4.2","[N3.7, N5, O4.3, A4.2, E4.1, X3.2]"
en,pin,O2,O2,"O2, M2, B5, B4, A1.1.1, M8, A1.7, S8, K5.2, B1","A1.7, O2, C1, K5.2, S7.1, M2",[O2]
en,clear,"K5.1, Z84, O4.3, B4, O4.1, I1.1","O4.1, Z84, W4, A10, A7, O4.3","Z84, Z85, O4.3, K5.1, I1.1, N5.1, M2, O4.1, L3","A7, W4, A10, I1.1, N5.1, O4.1, O4.3","[A7, A10, O4.3, O4.1, N5.1, W4]"
en,fugitive,"A1.7, Z84, E1, S1.1.1",K5.1,"A1.7, Z84, G2.1","A1.7, Z84","[A1.7, S2]"
en,regrettable,"E4.2, E4.1",E4.1,"E4.1, K4, G2.2",E4.1,[E4.1]
en,hot,O4.6,"O4.6, X5.2","O4.6, O4.2","A7, G2.1, O4.2, O4.6","[O4.6, X9.1, O4.2, X5.2, G2.1, A12, S7.3, E6, A7]"
en,skin,"B1, O2",L1,"L1, B1, Z85, Z3, A1.1.1, Z84, O2","B1, Z84, O2, A1.1.1","[B1, O2]"
en,peace,"E3, Z84","E4.2, E3","E3, G3","E3, A3, S1.1.1, E1, E4.2, X2.1, X4.1",[E3]
en,city,M7,"M7, Z3","M7, H3, H4, W3",M7,"[M7, M7, I2.1]"
en,allowances,"I1.1, S7.4, X4.1","S7.4, Z84, Z85, I1.1, X4.1, I3.1","I1.1, S7.4",I1.1,"[I1.1, S7.4, X4.1]"
en,last,"N4, T1.3, T2","T1.3, N4, T2","N4, T1.3, T2, N3.1, O2","T2, T1.3",[N4]
en,blow,"W4, E3, E4.1, S8, O3, B1, A1.1.1","A2.1, A1.1.1, B1, O3, E4.1, S8, W4, E1","A1.1.1, X9.2, A2.1, Z84, E5, O3","X9.2, A1.1.1, A2.1","[S8, A1.1.1, E3, E4.1, B1, W4]"
en,market,"I2.2, H1",I2.2,"I2.2, Z84, I2.1, O1.1",I2.2,"[I2.2, I2.2, H1]"
en,mentioned,"Q2.1, Z84, A1.2",Q2.1,Q2.1,Q2.1,[Q2.1]
en,organized,"S7.1, Z84, Z85, S5, O4.1",S5,"S7.1, S5","O4.1, S7.1, S5, Z85, Z84","[S7.1, O4.1, S5@]"
en,holdalls,"B5, M2","B5, Z84",B5,B5,[B5]
en,tree,"L3, L1, W5","L3, W5, F4, L2, W1, S4, L1, X3.3, S5, S1.1.3",L3,L3,"[L3, W5, L1]"
en,effortless,A12,A12,A12,E6,[A12]
en,defiance,"S8, A7, A1.1.1, A1.1.2, S1.1.1, E1, E6",A12,E3,S8,[S8]
en,revs,"M3, M1","M3, Z84, C1","M3, A2.1","M3, Z84","[M3, N3.1]"
en,soft,"O4.5, O4.1, X3.2, A12, O1.1, S1.2.5, O4.3, Y1","S1.2.5, Z84, Z85, O4.1, X3.2","O4.1, O4.5, A12, O4.3, S1.2.5",O4.1,"[O4.5, X3.2, O4.3, O4.1, S1.2.5, A12]"
en,simulation,"A6.1, Z84, Y2","A6.1, Y2, E1",A6.1,C1,[A6.1]
en,glue,"O1, A1.1.1","Z84, Z85, O1, A1.1.1",O1,"O1, A1.1.1",[O1]
en,warm,"S1.2.1, O4.6","O4.6, S1.2.1, O4.2, E2","E2, Z84, Z85, O4.2, S1.2.1, O4.6, B1","O4.6, Z84, Z85, E2, O4.2, S1.2.1","[O4.6, O4.2, S1.2.1]"
en,near,"Z85, A13.4","A13.4, N3.3, A6.1, M1, S3.1, T1.3, Z84, Z85, Z5","S3.1, M1, N3.3, A13.4","Z84, S3.1, Z85, M1, A6.1, Z5, A13.4, N3.3, T1.3",[Z5]
en,stonemasons,I3.2,"I3.2, Z84",Z2,"I3.2, Z84, O1.1","[O1.1, O2, B2, N3.5, B5]"
en,rare,"A5.1, Z84, Z85, A6.2, F1, N6","A6.2, A5.1, A1.4, A5.3, M5","Z84, N6, F1, A6.2, T3","N6, A6.2","[N6, A6.2, A5.1, F1]"
en,remediation,"S8, Z84",S8,"X4.1, S8, Q1.1, P1","S8, W5",[S8]
en,retaliate,E3,"E3, Z84, E1","E3, Z84",E3,[E3]
en,yet,"T1.1.2, Z5, Z84","T1.1.2, Z5","T1.1.2, Z5","T1.2, T1.1.2, Z5",[Z5]
en,over,"T2, Z84, Z85, Z5, N5.2, K5.1, A13.2, P1, T4","A13.2, K5.1, T2, N5.2",T2,"K5.1, T2",[Z5]
en,wondrously,"O4.2, Z84, W3","O4.2, Z84","O4.2, E4.1",X7,[O4.2]
en,curtails,Z84,N5,N5,"N5, Z84, S6","[N5, A2.1]"
en,worker,"I3.1, Z84, S1.2.5",I3.1,I3.1,"I3.1, Z84","[I3.1, S2]"
en,confutes,Q1.1,"A10, X2.5","X2.5, A10","A10, Z84","[A10, A5.2, X2.5]"
en,cold,"O4.6, S1.2.1","O4.6, S1.2.1, B2, E1","O4.6, B2, S1.2.1",O4.6,"[O4.6, S1.2.1, E1, A1.1.1]"
en,modifying,A2.1,A2.1,A2.1,A2.1,[A2.1]
en,shin,B1,"B1, Z3, F1",B1,"B1, M1","[B1, F1]"
en,book,"Q1.2, Q4.1","Q4.1, Q1.2, Z85","Q4.1, Z84, Q1.2, G2.1, A9","Q4.1, Z84, Q1.2, A9, G2.1, Z85, K5.1","[Q4.1, Q1.2, K5.1, I1]"
en,ingots,"O2, Z84, O1.1",O2,O2,O2,[O2]
en,glow,Z84,O4.3,"O4.3, Z84",O4.3,[O4.3]
en,bunny,L2,"L2, Z84, W3, L1, L3, O2, B1","L2, Z84",L2,"[L2, n]"
en,remote,"M7, N3.3, Z84, Z85, S1.2.1","N3.3, S1.2.1, Z84","N3.3, S1.2.1",N3.3,"[N3.3, S1.2.1]"
en,man,"S2.2, I3.1, L1","S2.2, I3.1","S2.2, B1, T3, A4.1",S2.2,[S2.2]
en,wind,"M2, Z84, Z85, M1, B1, O4.4, W4","B1, Z84, Z85, M1, W4, M2, O4.4",W4,M2,"[W4, B1]"
en,trawler,Z84,M4,"M4, M2",M4,"[M4, n]"
en,enlarge,N3.2,"N3.2, O4.4, O4.1, O4.2, B1, Y1, A4.2","N3.2, A4.2",N3.2,"[N3.2, A2.1, A4.2, Q2.1]"
en,latecomers,T4,T4,T4,T4,"[T4, S2]"
en,salamander,"L2, B1","L2, Z84",L2,L2,[L2]
en,diverse,M6,"A6.3, A1.8, A2.1, X7",A6.3,A6.3,[A6.3]
en,fukien,"I3.1, G1.2","Z2, Z84, T1.1.1, B1, E3, E5, E6, X2.1",Z2,A2.1,[Z2]
en,smile,"E4.1, E2, E4.2, B1",E4.1,"E4.1, E2","E4.1, Z84, Q1.1, C1, S1.2.1",[E4.1]
en,hobby,"K1, C1",K1,"K1, C1","K1, Z84, C1, K2, K6, L2",[K1]
en,radius,"N2, N3.7, N3.3","N3.3, N3.7, N2, Z85, Z84","N2, N3.7, N3.6, N3.3, B1, M6",N3.7,"[N3.3, N3.7, N2]"
en,revolutionary,T3,"T3, Z84","T3, Z84","T3, Y1",[T3]
en,value,"I1.3, N1, A11.1, G2.2, A4.1, I1.1, N2","A11.1, I1.3","N1, I1.3","A11.1, I1.3, A4.1, N1","[A11.1, I1.3, G2.2, A4.1, N1]"
en,eventually,N4,"T1.1.3, Q3","N4, Z5","Q3, E5, A7",[N4]
en,improve,"A5.1, T3","A5.1, Z84, P1, Y1, X8",A5.1,"A5.1, Z84","[A5.1, A2.1]"
en,frugal,A1.3,"I1.3, A1.3, E6, S1.2.6, N5.2",A1.3,"A1.3, I1.1",[A1.3]
it,piroscissione,Y1,"A1.1.2, X9.2, Z84, B2, O4.2, C1, Y1","Q2.2, Z84, Z85, B2, O4.2, X3.2, A1.1.2, X9.2, O1.2","O4.6, Y1","[A1.1.2, A2.1]"
it,pisciare,B1,B1,"B1, F2, B4","B1, Z84, B2",[B1]
it,pisolino,B1,"T1.3, B1, P1","M1, Z84, Z85, B1, B2","Z84, Z85, M1","[B1, E3]"
it,pista,"M1, T1.3, Z84, K5.1, M6, O1.1, M7, H3, H1, M3","Z85, H1, H3, M7, K5.1, M6","M7, K5.1, M6, M1, X7, H3","H1, P1, X7, H3, M1, M6, M7, K5.1, M2","[H3, H1, K5.1, M7, M6, X7, M7, K5.1, T1.3, M7, H3]"
it,pistolero,"G3, G2.1","G3, G2.1","G2.1, Z84, Z85, G3","Z84, Z85, G2.1","[G2.1, S2, G3, S2]"
it,piuma,"O1.1, O2","G3, Z84, Z85, N5, L2, M5","L2, Z84, Z85, N5, G3","G3, W1, N5, O2","[N3.5, L2, O2, G3, B5]"
it,piumino,"O1.1, H5, H4","Z85, N4, L2, N5, O1.1, B1, B5","Z84, Z5, E4.1, F3, N5, M6, F1, S3.2, B1, N3.1","B1, O4.5, L2, O1.1, N3.1, S7.1, O1.3, F3, F1, Z5","[B1, B5, O2, G3, L3]"
it,piuttosto,"Z5, Q2.1, Q3, A13.5","A13.6, Z84, Z85, Z4, A13.5, A13.2, E2, Q3, Q2.1","Z84, Z85, E2, A13.5, A13.2","A6.1, A13.6, Z4, A13.2, A13.5, E2","[A13.5, A13.4, A13.2, Z4, E2]"
it,pizza,"B3, Z84","F1, X3.1, X3.5, I3.1","B3, Z84, F1","B3, Z84",[F1]
it,pizzicotto,"A1.1.1, E3, B1, S2.2, S1.1.1, S3.1","N5, M1, A1.1.1, A12, E3, O4.6, B1","N5, Z84, Z85, Z2, A12, N3.2, O4.6, M1, G2.1, F2","A1.1.1, N3.2, M1, N5","[E3, N5]"
it,placare,"S1.2.1, Z84, Z85, E3, N5, E4.2","Z84, Z85, N5","S1.2.1, S1.1.2, S1.1.1, E3, S8, N5","S1.2.1, E3","[E3, N5, A2.2]"
it,placarsi,"T2, L1","L1, Z85, T2","L1, Z84, T2, E6","T2, Z85, L1, E6","[E3, N5, A2.2, L1, T2]"
it,placido,E3,"E3, E4.2","E4.2, E3, A1.1.1, X3.2, Z85","A1.1.1, Z84, E3, X3.2, E4.2, A10, X1","[E3, E4.2, A10]"
it,planimetria,"S1.1.1, S5","N3.6, O4.4, H1, H3","L1, C1, S1.1.1, S5, M7","L1, Z84, S5",[C1]
it,plasmare,O4.4,"O4.4, A2.2, Z84, Z85","O4.4, C1","A2.2, Z84, O4.4, O4.1","[O4.4, A2.2]"
it,plebaglia,"S2.2, S5, B2, B5, P1, Q3, S1.2.5","K1, Z84",S5,S5,"[S2, N5, A5.1]"
it,pluralistico,"A6.3, N6","A6.3, Z84","A6.3, S5, S1.1.2, S1.1.3, S1.1.1, G1.1",A6.3,[A6.3]
it,pluralità,"N1, N3.1, A6.3, Z84",A6.3,"A6.3, Z84","A6.3, N5.1",[A6.3]
it,pneumatico,M3,"Z84, M3",M3,"M3, B1","[M3, O2]"
it,poeta,"Q4.1, Q3, Q2.1","Q4.1, C1",P1,"C1, Q4.1, P1, K1, S1.1.3, X9.1, E1, S3.2","[Q4.1, S2]"
it,poggiatesta,H5,"H5, M8",Z84,H5,[H5]
it,poi,Z5,"Z5, T2","A13.3, Z84, Z85","Z5, Z4",[Z5]
it,polemico,"Q2.2, A6.2, S2.1",Q2.2,"Q2.2, A5.1","Z84, Z85",[Q2.2]
it,poliomielite,"B2, Z84","B2, Y1","B2, Y1",B2,[B2]
it,poliziotto,G2.1,G2.1,"N3.8, Z84, Z85, M1","G3, G2.1, S2.2, S1.1.1","[G2.1, S2]"
it,polpa,"F1, L3, F4","B1, L3, F1","B1, Z84, Z85, E3, A1.1.1","F1, O1.2, L3, B1","[B1, L3]"
it,polposo,"F1, O4.2","F1, O1.1, O1.2, O4.2","Z84, Z85, O4.2","F1, O4.2",[O4.5]
it,pomo,Z84,"B1, F1, F4, O2",O2,"O2, O4.4","[O2, B1]"
it,pontile,"M4, H1, I4",Z84,"H1, Z84, O2, M4, O4.2",M4,"[M4, H1]"
it,portabagagli,"O2, M2, Z84, M5, M3, A9","O2, M3","M3, O2","G2.1, Z84, Z85, M5, B2, F1, E6",[O2]
it,portantina,M3,Z84,"O2, M3, M1, S9",M3,[M3]
it,portare,"S7.1, N3, A8, C1, S7.4, B1, P1, A1.1.1, F2, A6.2","X5.1, Z84, Z85, P1, T1.3, S6, N3, S7.1, F2","A1.1.1, M1, M2, A9, T1.3, S8","B3, Z85, N3, T1.3, A2.2, F1, A2.1, B2, S8","[A1.1.1, A8, S8, X5.1, A9, M2, S7.1, A2.1, X2.4, S6, S7.4, N3, A2.1, M1, X2.5, A2.2, Q4, E2, M6]"
it,portatore,"M3, M2","Z84, Z85, M2","M1, M2, B2, M3, S1.1.1, M5, I3.1","M2, M5, M3","[A9, S2, I3.1, S2, M2, S2]"
it,porticato,H1,"H1, H2, H3",Z84,H1,[H1]
it,portico,H2,"H1, H2, H3, H4",Z84,"H2, H1, H3, H4",[H2]
it,posa,C1,"A5.4, Z84, Z85, S1.2.3, Q2.2, O4.1, A2.2, X2.1","A2.2, X2.1, S1.2.3","O4.1, T1.2, A5.4, A2.2, S2.1","[O4.1, B1, A5.4, X2.1, X2.1, E1]"
it,posacenere,O2,O2,O2,Z84,[O2]
it,posare,"O4.5, F1, T2, Q4.3, M6","Q4.3, A1.1.1, M2, M1","Z84, Z85, F1, S1.2.3, X6, T2, L2, K2, A2.2, M6","M2, M1, A2.2, M6, O4.1, A5.4, A1.1.1, S6, T2","[O4.1, B1, A1.1.1, M2, M1, M6, X6]"
it,posatezza,S1.2,"Z84, Z85, X7, M2","S1.2, E3, E1",S1.2,"[S1.2, A5.3]"
it,positivismo,"Z3, Z84",Z84,"X2.4, P1, E4.2, X8, S5, Q4.1, Q4.2, E3",X2.4,"[X2.4, A5.2]"
it,posizione,"M7, H4, S1.1.1, M6, H1, N4, Q2.2, I3.1, I3.2","Q1.2, N4, Q2.2, H4, X2.2, K5.1, M2, A1.1.1, S1.1.1, S7.1","M7, H4, K5.1, M2, M6, H1, S7.1, I3.1","X2.2, I3.1, M6, M7, S1.1.1","[Q2.2, M6, M7, S7.1, I3.1, N4, X2.1]"
it,possedere,"A9, S9","Z84, Z85, S9","A9, E1, S9",A9,[A9]
it,possente,"S1.2.5, S7.1, Z85","Z84, N3","S7.1, Z84, N3, S1.2.5",S1.2.5,"[A9, S7.1, S1.2.5, N3]"
it,possibile,"A5.3, A7, Q2.1",S5,"S5, Z84","S5, Z84, A4.2, S8, A7",[A7]
it,postino,"M3, I3.1","M3, Z84, Q3","M5, Z84, Z85, M3, B2","I3.1, T4, M5, M3","[M3, S2]"
it,povero,"I1.1, I1.2, E4.1, X9.1, A5.1, N3.2","N5, I1.1, N3.2, X9.1, A5.1","N5, I1.1, A5.1, N3.2, X9.1","I1.1, E4.1, A5.1, N5","[I1.1, S2]"
it,pozzanghera,"O2, Z2","S1.1.2, Z84, O2, I1, N5, K5.1","O2, N5, W3, W4",N5,"[O2, W3, M4]"
it,pratica,"I3.1, A1.1.1","K5.1, A1.1.1, I3.1","Z84, Z85","A1.1.1, I3.1, S6, S9, P1, S8","[A1.1.1, I3.1]"
it,praticabile,A5.1,"A5.1, Z84","A5.1, H5, H1, H2","A5.1, S7.1, S9, S6, H5, H1, H2",[A5.1]
it,praticante,"A1.1.1, K5.1",S5,"Z85, G3","A1.1.1, G2.1, I3.1, G3, S6","[A1.1.1, P1, S2, G2.1, P1, S2]"
it,praticare,"A1.1.1, K5.1",A1.1.1,Z84,"A1.1.1, X8, S9, M1",[A1.1.1]
it,precisazione,"S6, X9.1, P1","P1, Z84, A1.7, X9.1, S6","X9.1, P1, S6, A1.7","Q2.2, A5.3","[A1.2, X2]"
it,precisione,"A5.3, X5.1, X9.2, N4, X8, X7",Z84,A5.3,A5.3,"[A5.3, A1.2]"
it,predica,"Q2.1, S9","S9, Q2.1",Q2.1,Z84,[Q2.1]
it,pregio,G2.2,G2.2,"G2.2, Z84","G2.2, S1.1.1, E1","[G2.2, X9.1]"
it,premura,"X2.1, Z84, A11.1, X2.4, B2, S1.2.3, X3.3, E6","X2.4, S1.2.3","A1.1.1, E2","S1.2.3, Z84, Z85, X2.4, X2.1","[A1.3, X2.1, X2.4, S1.2.3, S1.2.4]"
it,preoccupante,"E6, A1.3, E5, Z84, Z85, A2.1, X5.1, X2.1","E6, A2.1, X5.1","Z84, Z85","E6, E1, X4.1, A2.1, X5.1",[E6]
it,preoccupare,"E6, A2.1, A1.8",E6,"Z85, K5.1, A1.5.1, A1.8","E6, X2.1, X2.4, S1.1.3",[E6]
it,preoccuparsi,E6,"E6, S3.1, E4.2",Z84,"E6, X2.1, X8",[E6]
it,preoccupato,"E6, X5.1","E6, X5.1","Z84, Z85","E6, X5.1, E5, S1.2.5",[E6]
it,preoccupazione,"E6, A1.3, X7","E6, E4.1, A1.8","Z84, Z85, E2, A1.8, A1.3, B3, I2.1, S8, G1.1","E6, A1.3, S8, E2, X7, S1.1.3","[E6, A12, B2]"
it,presagio,"Q1.1, S9, M2","S9, A1.4, A15",S9,"A6.2, Z84, Z85, G2.1, I3.1, Q1.2, B2, M2, K2, N4","[X2.6, A6.2, X4.1, S9]"
it,presagire,T1.1.3,Z84,"T1.1.3, X2.6, A10, A8, L1, W1","X2.6, Z84",[X2.6]
it,presentarsi,"M1, S1.1.1","S3.1, P1, S2.1, S2.2","G2.1, Z84, Z85, K4, A10, S1.1.1, Q4, A3","A10, M1, A8, A3, A1.1.1, S1.1.1, K4, G2.1","[A1.1.1, A10, A3]"
it,presentimento,"X4.1, A1.6",Z84,"E5, X1, X2.4, X2.6, X2.1",E5,"[X2.6, E5]"
it,presepio,"S9, H5","H5, Z84, Q1.2, K5.2","H5, H1, H2, S9",S9,"[H5, S9]"
it,presso,"W3, M6, Z5","M6, Z5","M6, Z84, Z85","Z5, M6","[M6, Z5]"
it,prigione,"G2.1, A1.7, H1","G2.1, G2.2, A1.1.2, A9, E6, H1, A2.2","Z84, Z85, A9, B2, F4, A5.3, T2, O4.6, S1.2.1, O4.2","H1, H4, G2.1, A1.7, A2.2, T2, A1.1.2, B2","[A1.7, G2.1, H1, H1, A10]"
it,prigionia,"A1.7, S5","G1.1, A15, I1.1, A1.7","Z84, Z85, I1.1","A1.7, S6, S5, G2.1, G2.2, X6, S3.1","[A1.7, A10]"
it,prigioniero,"G2.1, A1.7, A10","G2.1, G1.2, G2.2, M3, Z84, A9, A1.7","Z84, T4, A9, M3, A10, T2","G2.1, A1.7, A9, T2, X6, S1.1.4","[A1.7, G2.1, A10]"
it,principalmente,"A14, A13.2","Q3, Z5, A14","A14, Z84, Z85, A13.2","Z5, A14, A13.2","[A13.2, A14]"
it,principiante,"P1, X9.1","P1, X9.1, W5","K5.1, C1, K2, K1","P1, Z84, Z85, M7, W5, L3, O4.3","[X9.1, S2]"
it,procedere,"A1.1.1, M1, M2, M6, M3, M4, T1.1.2, T1.1.3, X8, X1","M1, M6","I1.1, Z84",I1.1,[M1]
it,procedura,"I3.1, A1.1.1, G2.1, G1.1, Z84","A1.1.1, S1.1.1, B3, M2","Z84, Z85","I3.1, A1.1.1, A1.3, B3","[A1.1.1, X2, N4]"
it,proclamare,"Q2.2, G1.1","N3.1, Z84, G1.2, Q2.2, Q4","Q2.2, Q4, Z84, X3.2","A8, Z85, Q4, E4.1, X3.2, N3.1","[E4.1, Q2.2, Q4, X3.2]"
