lemma	semantic_tags
نُوح	 Z1m 
جَبْرِيّ	 S6+ S7.1+ A5.4- E6+ S1.2.5+ N2 
مِجَزّ	Z99
إِجْرائِيّ	 A1.1.1 
جَزَع-َ	 M1 
نَكَى-ِ	 A1.1.2 B2- A1.1.1 E4.1- S1.2.4- G2.1- 
أَجْزَل	Z99
جَرْي	 M6 X7+ P1 B3 F1 M7/K5.1 T1.3 Z4 M1 T2++ A1.1.1 S7.1+ M1/N3.8+ K5.1 G1.2 G2.1- X3.3 M3.3 A6.3+ K4 
جِرْم	 B1 O2 S5+c O4.1 S2mf N5+++ N5+ N3.5 S9 B2- S5+ G2.1- 
جَرَّف	Z99
جَرْف	Z99
تَجْرِيف	Z99
ٱِنْجِراف	 A1.1.2 W3 
جَزْل	 A13.3 N5++ 
نُكْس	 A5.1-/A2.1 
مُجَفَّف	 O1.2- O4.1 
جَشَع	 S1.2.2+ 
نِك	 Z1m 
نَقَّى	 B4 A1.1.1 G2.2+/A2.1 A7+/Q2.2 
جَلَب	Z99
نُكْران	 Q2.2/Z6 S7.4- 
مُنَكَّر	 A7- 
ٱِنْتَكَس	Z99
جَسارَة	 E5+ S1.2.4- 
جُسَيْم	 O2 O1 B1 
جُسْمانِيّ	 B1 A1.6 E3- Y1 B3 
نَمِل-َ	 X5.2+ 
أَنْمَى	 T4+ N4 I1.1 M1/G3 S3.2 A5.1+/A2.1+ M1 S8+ X2.1 
جَدِر-َ	Z99
جُحا	Z99
جُدَرِيّ	 B2- 
تَجادَل	 E3- Q2.2 
ٱِنْتِهازِيّ	 A1.4 A1.4/S2mf T1 T1.2 T1.3 T1.1.2 N6 N1 K2 G2.1@ X7+/T1 N3.1/T1 G2.2- 
مَنْهَل	 F2/B1 O2 T1.3 W3/M4 M1 A2.2 Q2.1 G2.1-@ T1.3% 
جُحُود	 Q2.2/Z6 S7.4- X7- 
جِبارَة	Z99
جَبْرَئِيل	 Z1mf 
نَوْء	 W4 E3- A12- G3 Z3 
جابِي	 A9+/S2mf G1.1/S2mf 
مُجادِل	 S7.3/S2mf 
ٱِسْتَجْدَى	 Q2.2 Q2.2/E6- 
جَرِب	 B2- 
تَجَرَّأ	 E5+ A15- A1.4 
مُجَرَّب	 X2.4 P1 B3 
نَهَب-َُ	 G2.1-/A9+ A9+ I1.1 G2.1- 
أَجْرَد	 L3-/F4 N5--- B2-/S4 
ٱِنْتَهَج	 M1 N4 S7.1- X2.4 X2.5+ A6.1+ A1.1.1 A2.2 K5.1 X3.4 X8+ 
جَرَّة	 O2 E5- E2- A1.1.1 M2 
ٱِسْتِجْداء	 Q2.2 
تَجاذَب	 O4.2+ S3.2 O3 Q2.2 S7.3+ 
نَهْرِيّ	 W3/M4 N5+ 
ٱِنْجَرّ	Z99
هَدِير	 N5+ 
تَبار	 A1.1.2 I1.1--- H1/A1.1.2 
مُبْتَغَى	 X7+ Q3 K5.1 
ٱِبْتِغاء	 X7+ S3.2 M6 A2.2 A1.5.1 
مُهَوِّل	 A5.1- O4.2- 
هَوَّل	 E5- 
بَقّال	 O4.3 W5 L3 X9.1- M7 G1.1/W5mf K5.1/M7 
بَغّال	Z99
تَهاوَن	 S7.2- 
مَبْعَدَة	 N3.3+ S1.2.1- A1.9 
مُبْعَد	 M2/G1.1 
هَوِي-َ	 S3.2 E2+ E2+/S2mf Z5 A6.1+ Z4 
بَعْلَبَكّ	Z99
بَعْلَبَكِّيّ	 Z5 
بَكارَة	Z99
تَهَوُّر	 A1.3- 
هَمَّش	Z99
هِمَلايا	 Z2 
بَلَه	 S1.2.6- X9.1- 
بَلْهَ	Z99
هَمْسَة	 Q2.1/X3.2- Q2.1 X3.2 
بَلْغَم	 B1 
هانِي	Z99
هُود	 S9/S2mf 
مُبْتَلّ	 O1.2 W4 X5.2- G1.2 N5.2+/O1.2 
بِلال	Z99
بَلاد	 S1.2.6- X9.1- 
تَهَوَّى	Z99
تَبَعْثَر	Z99
تَبَصُّر	 X3.4 Y1/M2 A2.2/A10+ X2.1 X2.4 S1.2.3- 
هِيكْتُور	 Z1m O4.1 H1 S7.1 O2 A4.1 X4.2 B1 A1.1.1 
بَضّ	 K2 A1.1.1 Q4.3 A2.1+ O4.5 X3.2- O4.3 O4.1 S1.2.5- A12+ 
هِيرُوشِيما	 Z2 
بَطّ-ُ	 N3.3--- I1.1+ E1/B1 N5+ A1.1.1 
بَصَّر	 Q2.2 X2.3+ 
هَيَلان	Z99
هِيُوز	 Z1mf 
باشّ	 E4.1+ E4.2+ 
أَبْشَر	 E4.1+ 
هِيلِينِيَّة	Z99
مُهَيِّج	 A2.2/S2mf G1.2/S2mf E3-/S2mf 
تَهَيُّج	 E3- B2- X5.2+ 
أَهاب	 Q2.1 O4.2+ G2.1 Q2.2 E2+ 
بَطْلَيْمُوس	Z99
هاب-َ	 E5- S7.2+ A4.1 
بَطْنِيّ	 B1 O2 
بَعْثِيّ	Z99
مُبْطِل	 A5.2-/S2mf 
بُطْلان	Z99
هَيَجان	 E3- B2- X5.2+ 
هِيثْرُو	 Z2 
بَطَّل	 S8- T2- A1.1.2 G2.1/T2- 
أَبْطَل	 A1.1.1 L1-% 
بَلَى	 A13.3 A7+ 
بَلِيَّة	 A12- E6- B2- 
بِيرِيز	Z99
بِيرُونِيّ	Z99
تَهَرُّب	 A1.9 
ٱِبْيِضاض	 B2- 
بايَع	Z99
بَيْرُوتِيّ	Z99
أَهْرَع	Z99
بَون	 T1.3 N3.3+ S1.2.1- A1.9 
مُبَيِّت	 G2.1-/S2mf G2.2-/S2mf I3.2/N2/S2mf O2 G2.1- G2.2- X7+ Q1.2/N2 S8+ 
هِراوَة	 O2 B5 Q2.2 M2 A1.1.1 A1.7+ A2.1- T2++ E2+ A9+% O2/G2.1 M7 
هِرَقْل	 Z1m 
تَهَرَّب	 A1.7- O2 X2.2- Y2 A1.9 
مُباع	 I2.2 
تاكْسِيّ	 M3fn M5 M2 
تَأْتَأ	 Q2.2/B2- Q3 
هَدّام	 A1.1.2 S8- 
تَهَدَّم	Z99
ٱِسْتَتَبّ	 A2.1- O4.1 
مُهْدِي	 S7.1+ A11.1+ A2.2 M2 A1.1.1 S8+ K1/S2.1@ S7.1+/S2mf A5.1+++/S2mf Q4.2 G2.1/S2mf Q4.1 S8+/S2mf K1/S2.1f 
هاذِي	 B2-/S1.2.6- E4.1++ 
بِيعَة	 S9/H1c S9c 
بِيكار	 O2/M6 
بِيكاسُو	 Z1nf 
بِيكُو	Z99
ٱِهْتِزازَة	 W3 B1 A2.1+ B2 M1 M2 
بُوم	 L2mfn 
بُنْيَوِيَّة	Z99
بَنكرِياس	 B1 
بِنِين	 Z2 
بَهَت-َ	 Q2.2 E3- G3 A1.1.1 X2.6- 
أَبْهَت	 X2.6- E5- 
بَنْشَر	 A1.1.2 A1.1.1 O4.4 O3 O4.1 K2 A5.3+ H1/H4 M3 W3 B5% O4.4% N5- A6.1+ 
بِنْتاغُون	 NN1@ Z3c/G3 
بَلْوَر	 C1/M7 A5.4- A4.1 O4.4 Q1.2 O4.1 P1@ H5@ K5.1@ G2.1-@ B1@ T2+ A2.1+ A1.8+ A3+ A1.1.1 A2.2 E1 A7+/Q2.2 
هامِد	 E3+ E4.2+ X3.2- A10- A1.1.1/N5- L1- A3- O4.2- 
بلُوز	 B5 
بَلُوشِيّ	Z99
بَهْر	 A5.2- 
هَلّ-ِ	 T2+ A8 A10+ A3+ G2.1 K4 Q4 
مَهْزَلَة	 E4.1+ K4 X9.2- 
هَزْم	 X9.2- X9.2+/G3 X9.2+/S7.3 A12- 
باقَة	 L3 X3.1 
بُولَنْدِيّ	 Z2 Z2/Q3 Z2/S2mfnc 
مُهْتَزّ	 M1 E5- M2 E4.1- A2.1+ A6.1+ 
هِسْتِيرِيّ	 E1 
هَشاشَة	 E4.1+ 
باهَى	 S7.3+ 
تَهافُت	 X5.2+/N5.2+ A1.1.2 B2- N3.2-/A2.1 
تَهافَت	Z99
بُورْتُو	Z99
ٱِسْتَرْسَل	Z99
تَنَفَّذ	Z99
تَرَسَّم	Z99
رَشْفَة	 B1 F2 
رُقْيَة	 S9 A11.1+ A5.1+ T1.3 Q3 O4.2+ S9% 
رائِج	 M2 M1 N5.1+ N3.6+/A2.1 
رَشِف-َ	 F2 F2/B1 
مَحّ	 O4.1 O4.2- 
رَشَّة	 N5 A1.1.1 W4 M2 
رَصاصِيّ	 S7.1+ O2/L2 O3 S8+ O1.1 K4/S2mf A2.2 M2 A1.1.1 
رُكُون	 S7.1- E6+ A10- 
مَرْعِيّ	Z99
مانُوِيل	Z99
رِمَّة	Z99
رَشَح-َ	 O2 A1.1.1 
مارِيا	 Z1f 
مُراسَلَة	 Q1.2 A6.1+ Q2.1 Q1.3 Q4.3 
لُوِيزَة	 Z1f 
رَعا-ُ	 T2- A1.1.1- E4.1- S9 
مُرْتَضَى	Z99
مُرْتَكِب	 G2.1-/S2mf 
مَجّ	 A9- A1.7-/M1 B1 O1.2 I3.1 I1.2 G3 X7- 
رِعْشَة	 W3 B1 A2.1+ 
لِيرَة	 NN1% M7 NNL1% I1 N3.5 A1.1.1 P1 
مُرَغِّب	Z99
مالِيزِيّ	 Z2/S2mf 
رُوبِن	 Z1mf 
مالْطِيّ	 Z2 Z2/S2mfnc Z2/S2mf 
أَمْتَن	 S1.2.5++ N5++ A5.1++ X5.2++ S7.1++ X9.1++ O4.1 S1.2.3++ 
ماركس	 Z1mf 
راكِع	 O4.1/B1 S7.2+ S1.2.4+ S7.1- M6 B1 M2 
تَرَضَّى	 E3+ 
رِفْد	 S8+ O2 I1.1 B5% A1.1.1 K5.1 A10+ A9- X9.1+ 
إِمْتاع	 E4.2+ K1 
مَأْمَأ	 L2/X3.2+ Q2.2/E2- 
مَرْمِيّ	 M2 A2.2 Q2.2 A1.1.1 X2.5- JJ@ X7- T2- 
مُرْهِق	 A1.7+ W4 
رَقَأ-َ	Z99
تَرْسِيَة	Z99
رَشْوَة	 G2.2-/I1.1 
لِيفِربُول	 Z2 Z3c 
مَرْقَص	Z99
أَرْضَع	 B1 F1 O2 
رَمْزِي	Z99
رَقابِيّ	 Q4/S7.4- X2.4 
مانْدِيلا	 Z1mf 
تَمَثُّل	 A6.1+/A2.1 A9+ 
رِقّ	 S7.1- 
أَراح	Z99
رَمْضاء	 W1 W2 W4 Z3 K1/W4 
مَحاق	 W2/W1 
رَشاوِيّ	 G2.2-/I1.1 
لَيَّف	Z99
ماراثُون	 K5.1 T1.3+ 
مُرافَعَة	Z99
رَشْح	 B1 A1.1.1 
مافِيا	 G2.1-c 
رَمَق-ُ	 X4.1 X3.4 A4.1 X7+ X2.1 X2.4 
رَصانَة	 E3+ E4.2+ O4.1 
تَرَفُّع	 S7.2- A1.9 M1 
رِفاعِيّ	Z99
كَرُم-ُ	Z99
مُشَعْوِذ	 L2/Q2.1 B3/S2 
وَتَد	 I1/A1.4 S1.1.2+ O2 A1.4 N5 A1.7+ B5 Q2.2 M2 A1.1.1 A2.1- T2++ E2+ A9+% M7 
شاغَب	Z99
واتَر	Z99
نُدْبَة	 K2 
أَنْدَب	Z99
مِشْعَل	Z99
وِتْر	Z99
نَدَب	 B2- A1.1.2 E4.1- 
عاكِسَة	 O2 
شَغَب	 E3- E6- B2- 
ٱِبْتِزاز	 A9+/G2.1- G2.1- 
شاغِر	 H4- A1.5.1- X5.1- I3.1 S8-/A15- A10+ S3.2/A15- H4 
رَعَّب	 E5- 
وابِل	 W4 Q2.2 M6 B4 S5+/O4.2-c S1.1.1% A9+/N5+ 
وَبَه-َ	 X5.1+ X1 E6+ E2- S8+ A1.3 
وَبْه	 E6+ E2- S8+ A1.3 
وَتَّد	 A1.7+ A7+ A15+ E6+ A9+ 
رُويال	 S7.1+ 
خَرْم	 N3.3 T1.3 A6.1- A9- M1 A1.1.1 O4.1 X9.1- X2.2- G3 N5--- Q1.2 X2.1- A1.9 
شَرَع	Z99
نَدِب-َ	Z99
نَدَب-ُ	 Q2.2/E2- A9- S7.1+ S7.4+ 
أَشْعَث	 O4.2- 
زَقْزَقَة	 X3.2 F1 A9- S8+ M2@ 
عَقَّد	 A12- 
يَعْقُوبِيّ	Z99
تَكْرِيمِيّ	Z99
مُتَوَثِّب	 X5.2+ S1.2.5+ 
عَقِيدِيَّة	 A2.1-/X2.1 
بَرْهَن	 A5.2+ X2.4 A10+ G1.2 
تَفاوُضِيّ	 Q2.2 
برُوتِسْتانْتِيّ	 S9/S2mf 
نَخِيل	Z99
برُوكُلِي	 F1 L3 
أَوْحَد	 N5--- A5.1+% A6.2- Q3 
شَعَّل	 O4.6+ A2.2 E3- B2- 
أُشْعِل	Z99
رَمْزِيَّة	 Q1.1 
شَعْشَع	 N5- N5-/A2.1 
شَعْرانِيّ	Z99
مَخْبُول	 B2-/X1 S1.2.6- 
عاقِب	 N4 
رَمْس	 E4.1- M7/L1- Q3% L1-/H1 
بَرُود	Z99
وَتْرِيّ	Z99
خُبَر	Z99
كُرْدِسْتانِيّ	Z99
مُشافَهَة	 Q2.2 Q3 B1 Q2.1 Q2.1/P1 
بَرَّد	Z99
مُبَرِّح	 A12- B2- E6- E3- N3.2+ 
نادِم	Z99
تَرَوَّى	 X2.1 A10+ Y1/M2 X3.4 A5.1 
حان	 Z5 F2/H1c F2/H2 F2/H5 O2 O4.4 S8- G2.1c K2 S7.4- A1.7+ 
مُتَعَفِّف	 G2.2+ N3.2- S1.2.3- 
كُرُوز	Z99
مُواءَم	 A6.1+ Q2.2 E3+ G3 Q3 N2 K2 S1.2.1+ 
بُسْر	Z99
بارَح	Z99
شَقَّق	 A6.1- A1.1.2 S1.1.2- 
تَشَقَّق	Z99
لِينْكُولن	 Z2 Z1mf 
فَيْلِيّ	Z99
تَنادَى	Z99
شَرَفِيّ	 S7.2+ I1.1- 
كَرْدِنال	 A11.1+ S9/S2.2m 
رُونالْدُو	Z99
حَيْض	Z99
نَدَّى	 O4.1/O1.2 
شَفَق	 T1.3 W2 T2- 
لَقِيط	 T2+ A2.2 A1.1.1 A10+ X2.1 X6+ X6+.1 
أَشْرَع	Z99
مَجْدِي	Z99
مُخْتَبِئ	 A10- 
خابِئَة	 O2 E5- E2- A1.1.1 M2 
أَنْدَر	Z99
خَبَث	 X7-/O2 Q2.2/Z6 S7.4- X7- O4.2- A1.5.2- 
خِرْقَة	 N5- A1.1.1 O2 Q4.2 E4.1+ A1.1.2 
شَغّال	 I3.1/S2mf A1.1.1/N5+ A1.1.1 X5.1+ H4 A1.5.1 G3 T1.3 T2++ S7.1+ M1/N3.8+ K5.1 G1.2 G2.1- X3.3 M3.3 A6.3+ K4 
عَفْوِيَّة	 X7- 
أَبْرَد	 Q1.2 
تَعَفُّن	 B2- O4.2-/A2.1 A1.1.2/L1- 
شَفِيف	 O4.3 
خامَنِئِيّ	Z99
خاكِيّ	 O4.3 
وام	Z99
مَشْفُوع	 S3.1 K2 T1.1.2 A2.2 A1.8+ S5+c F4 
شِفْر	 A10-/Q1.2 N2 X3.2/N6+ A11.1- S7.1-/S2mf G2.1 A10-/Q1.1 G2.2 A4.1 Y2@ B3% B1% 
خَبّ	 M2 M1 B2-% W4 
ٱِسْتِشْفاف	 A10+ C1 X2.4 Q2.1 
نَدَس	 Q2.2/A5.2- Q2.2/A5.1- G2.2- 
وَبَّخ	 Q2.2/G2.1 Q2.2 
كِرْشَة	 F1 A5.2- 
فِيدْرِين	Z99
كرِمْلِين	 Z2 
بَرْقِيَّة	 Q1.3 
تَعَقُّل	 S1.2.6+ 
ٱِسْتَشْرَى	 A5.1-/A2.1 
عُقَيْلِيّ	Z99
بَرْقِيّ	 Q1.3 
عُكّازَة	 L3 O2 G2.1 B3 S8+ B1 
عُكّاز	 L3 O2 G2.1 B3 S8+ B1 I3.1/S2mfc B3/S2mf G3/S2c L2mfn I3.1 
مُنَجِّي	 S8+/S2mf 
بُرُوق	 W2/W4 N3.8+ O4.2+ O4.3/N6 Q4.3 O2 G2.1- A10+ 
مُبَرِّز	 X9.2+/S7.3/S2mf X9.2+/G3/S2mf 
شِرَى	 I2.2 A9+ 
مُخْتَرِع	 Y1/S2mf 
كُرُواتِيّ	 Z2 Z2/S2mf 
خُدَيْوِيّ	Z99
خَرَف	Z99
شَطَّة	Z99
رِمْش	 B1 
مُنْتَحَل	 A5.4- 
عَقِيل	Z99
خَرِف-َ	 A5.2- 
مُتَخاذِل	 S1.2.5- O4.1 S7.1- A5.1- B2- A1.5.1/N5.1+ 
عُقْلَة	 O2 X2.5- N3.8 A1.1.1 S5+ B1 F1 H1 F3 
تَوَجَّس	 E6- 
مُنَجِّم	 S9/S2mf 
فاوَض	Z99
عَكَر	 O1.1 
خُرْدَة	Z99
عَكَّر	 X5.1- A2.1+ E6- 
بارَع	 X8+ I3.1 A1.1.1 Q4 K2 C1 X9.2+ A2.1+ A2.2 
تَفاوَض	 Q2.2 S1.1.3+/G3 
خَرْطُوش	 G3 O4.4 O2 
خُراسانِيّ	 Z5 
رَطِيب	 O4.1/O1.2 W4 T3- O4.2+ B1 S1.2.3+ 
كرِيسْتُوف	Z99
شارِقَة	Z99
مُتَبَرِّع	 A9-/S2mf A9-/B3/S2mf Q4.1/S2mf 
مُعَقَّم	Z99
شَرِق-َ	 M3/O2 S8- A1.1.2 G2.1- 
مُعَقِّم	 O1.2/B4 
ٱِرْتَطَم	 A1.1.2 X3.2 I2.1/X9.2- Y2 B3% M1 N5-/A2.1 B1@ A2.2 A1.1.1 
بَرْغُوث	 L2mfn 
عَكّ	Z99
تَناحُر	 S8-/S5 E3-/S5 G1.2/S5 
شَرِك-َ	 S5+ S5+/S2mf S3.1mf A6.1+/X2.1 S3.1 S1.1.3+ 
خَوارِج	Z99
تَخارُج	Z99
أَفاوِيه	Z99
لُوثَة	 B2- O4.1 S1.2.6- B2-/X1 
أَشَعّ	Z99
خَدِيجَة	Z99
أُخْدُود	 O2 T1.3 I3.1 A1.1.1 K2 F4 W3 B1 
مُخْجِل	 G2.2- A5.1- E4.1- E5- 
وَثَن	 S7.2+/S2mf S9/O2 
أَخْرَق	 A10- O4.2- S1.2.6- E4.1+ 
شَظَف	 A12- 
شَظِف	 O4.2- S1.2.1- 
وَثَنِيَّة	Z99
تَشَظَّى	Z99
كَرْنِيه	Z99
كرَنْك	Z99
وَثاق	 S5+/I2.1c O2 N4 B5 S7.1 A1.7+ S5+ I1.1 S3.1 S6+ K5.1/S7.3+ A2.2 A1.1.1 
تَعاقُدِيّ	 Q2.2 
مُبَرَّد	 O4.6- 
أَوْثَق	 A1.7+ B5 O2 S5+ S6+ K5.1/S7.3+ A2.2 A1.1.1 
ٱِعْتِقادِيّ	 A2.1-/X2.1 
تَلافِي	 M2 A5.3+/A2.1 I1.2 A5.1+/A2.1 
تَكَسَّب	 A9+/I1 S1.1.4+ A9+ 
نَخَر	 O4.2-/A2.1 B2- 
مُتَعاقِد	Z99
إِشْرافِيّ	 S7.1+ M6 Q2.2 K4 
وَجَّب	 S6+ 
خَدَّش	 B2- A1.1.1 A1.1.2 T2+ S1.2.4- G2.1- I1.1--- H1/A1.1.2 
ٱِعْتَكَف	Z99
بارَز	Z99
ٱِنْتَحَى	Z99
شاطَر	 S1.1.3+ S1.1.2+ I1.1 
شَطْحَة	Z99
مُكْرَه	 S7.1+ A5.4- A1.1.1 E3- 
مَنْجَمِيّ	 I4 G3 
مُفَوَّه	 Q3/X9.1+ 
تَعَكَّف	Z99
بَرِم	 B2- X5.2- B1 O4.2- 
تَلاقَح	 E3- O4.4 S9/O2 A2.1+mfn G2.1/O2% M1 M6 S8- A1.8+ A6.3+ F4/L2 Q1.2 S1.1.1 S9@ 
خَدْع	 A5.2- 
خَرَق-ُِ	 B1 O4.2- N3.8+% A1.1.1 A1.1.2 E3- G2.2- G2.1- 
خَدْش	 B2- A1.1.1 A1.1.2 T2+ 
وَجاهَة	 S7.2+ A5.1+ A11.1+ A6.1- 
بُرْمَة	Z99
ٱِنْبَسَط	 N3.6 T1.3 G2.1 K5.1@ M1 N3.7+/A2.1 A4.2-/A2.1 A12- A2.1+ X8+ 
خَدَع-َ	 A5.2- 
برِدْج	 H1 W3 A2.2/S3.1 H2/M4 B1 B3 O2 K5.2 M1 
تَفَيَّأ	Z99
خادَع	 A5.2- 
أَشْرَق	 N5+/A2.1 N3.2+/A2.1 S7.1+/A2.1 O4.4 M1 N3.7+/A2.1 W2 O4.2+ B4 E4.1+ X9.1+ W4/A5.1+ 
كارِثِيّ	 A5.1--- X9.2- A1.1.2/W4 E4.1- 
شَهامَة	 E5+ 
مَعْشُوق	 S3.2/S2mf E2+/S2mf 
هُونْدُوراس	 Z2 
شَهْوانِيّ	 S1.2.2+ G2.2- 
حَمَدانِيّ	Z99
نَسْف	Z99
أَنْسَف	 M1 N3.6+/A2.1 
تَشْهِير	 G2.1-/Q2.2 
كِتاف	 A1.7+ S8- G2.1 G2.1/O2 
أَعْشَى	 X3.4-/B2- X3.4-/S2mf H5 X3.4- 
عَشِي-َ	Z99
تَقابُل	 A6.1- G3 S1.1.1/E3- Q1.2 A6.1+ S8-/E2- S7.3+ 
مُتَهاوِن	 X5.2- A5.1 A1.9 G2.2- 
عاشُوراء	Z99
نَسَك-ُ	Z99
مُلَقِّم	 F1 A9- S8+ M2@ 
شاوَر	Z99
مُعاشِر	 S3.1/S2mf S5+ S5+/S2mf S3.1mf A6.1+/X2.1 S3.1 
تَحْلِيَة	 C1/H1 O2/O4.2+ S1.1.4+ 
زَغْرَد	Z99
مُتَناسِق	 S7.1+ O4.1 A1.1.1 A6.2+ S7.1+/Q2.2 I2.2/Q2.2 
لَقِيم	 A9- A9+ S8+% N5+ M2 G3 
نَسْق	 S7.1+/Q2.2 I2.2/Q2.2 N4 S7.1+ O4.1 Q2.2 A1.1.1 O4.4 M2 S5+ A6.1+ 
تَنْسِيقِيّ	 S7.1+ M2 A2.2 X4.2 
حُمَّى	 B2- X5.2+ O4.6+ E1 A1.1.1 S7.3 
مُعَشِّر	Z99
مُحَمَّدِيّ	Z99
مُتَكاتِف	Z99
مَعْصُوب	 B3 
عَصِيدَة	 F1 G2.1@ 
كَتَّم	 A10- 
نُسَيْبَة	Z99
أَحْمَل	 N5++ A13.3 N6++ 
شَنَق-ُ	 E6- M2 M1 M8 G2.1 S7.1- 
بَطّال	 A1.1.1- I3.1- 
هِيبِيّ	 A6.2-/S2mf 
شَنْطَة	 B5 
حُمَة	 B2- G2.2- A1.1.1 B1 S1.2.6-/S2mf 
رُمَيْثِيّ	 Z5 
نَسِيب	 A13 A6 S4mf Q3% S4 
تَناسُب	 O4.1/B1 A6.1+ S7.3 I1.1 A11.1 
مُلْهِي	 E4.1+ 
ٱِسْتِبْطان	 X2.4/S5- S1.2 
أَحْمَس	 E5+ X5.2+ 
هاوِيَة	Z99
بَظْر	 B1 
مُنْبَعِث	Z99
تَنَسَّخ	Z99
مُبَطَّن	 O4.1 N5.1+ A10- M1 N3.6 I1.1 A1.8+ N5 Q2.1 S8+ A1.1.1 
نَسِيجِيّ	 B5 S5+ O2 B1 O1.1 B4 
باطِنَة	 M6 A10- G1.1 
زَغْل	 A5.4-/A1.1.1 A2.1+ 
مِحْمَصَة	Z99
ٱِسْتَحْلَى	Z99
نَسْك	 G2.2+ S9 
حَلَق-ِ	 B4 A1.1.1 N5-/A2.1 
أَشاك	 B2- G2.2- A1.1.1 B1 S1.2.6-/S2mf 
كَبْش	 L2mfn L2mn O2 E3- A1.1.1 F1 
حَلْف	 Q2.2 
شَوّال	Z99
عَشَّش	Z99
حَلَق	Z99
نَسَم	 B1 N5-@ 
حِلاقَة	 B4 A1.1.1 N5-/A2.1 B4/S2mf 
عُشَّة	 H1 H1/L2 A1.7+ 
ٱِشْتِياق	 X7+ S3.2 
رَمّ-ُِ	 A5.1+/A2.1 S8+/A1.1.2- M1 A1.1.1 S7.1+ 
تَقْتِير	 I1.3- 
مِكْبَس	 Q4.2c O2 A1.1.1 Q4.1/I2.1c X8+ S7.1+ E6- O3 Q4.2 
عَسّاف	 S7.1+/S2mf A1.7+/S2mf 
تَعَسُّفِيّ	 S7.1+ A1.7+ E3- A1.4 
شَوِيّ	 F1 O4.6+ 
عَسْف	 G2.1- S7.1+ 
حَلَب-ُِ	 F2 O1.2 F4 A9+ 
نَسْي	 S2.1/X2.2- A10- 
هال-ُ	 E5- 
راع-ِ	 N3.2+/A2.1 A2.1+ A5.1+/A2.1 F4 N5+/A2.1 X9.2+ E2+ 
تَحالَف	 S3.1/S2mf S8+/S2mf S1.1.3+ S8+ S5+ 
حَلَّف	 Q2.2 
كَبْس	 N3.5 S7.1+ E6- E3- G3 B2- A1.1.2 Q2.2 G2.1 A9+ 
تَشَوَّه	Z99
بِغاء	 S3.2/G2.2- 
شاق-ُ	 Z4 E4.2+ E2+ X7+ E4.1+ 
حُلْوَة	Z99
نَسَل-ُ	 A2.2 S4/B1 
حِلْمِي	Z99
هَوَّن	 S8+ A11.1-/Q2.2 
حُلْمِيّ	 X4.1 X7+ A5.2- X2 X2.1 X7++ 
ٱِنْكَتَب	 X2.1/A6.1+ Q4.2/I2.2 A9-/I1 I2.2/I1 
حُلْوان	 I1.1 N5.1- M7/O4.2- I1 Q2.2 M2 
هَوان	 A11.1-- G2.2- A5.1-/A2.1 A1.1.2 
شُورِيّ	 S8+ Q2.1/S8+ 
هُون	 S7.2- A5.1- G2.2- A5.1-/A2.1 A1.1.2 M6 T1.1.2 T1.2 
مَعْشَر	 S5+c A9+ A1.1.1 S5+ 
ٱِسْتَكْتَب	 S6+ Q2.2 S7.1+ X6+ 
هُومِيرُوس	 Z1m 
تَشَوَّش	Z99
كابِينَة	 H5 G1.1 
تَشَوُّش	 X2.5- 
شاف	 A8 X3.4 X2.4 O4.1 X7+ Z4 
كابِل	 O3 O2 Q1.3 Q4.3 
كَبْل	 A1.7+ S8- 
تَباغُض	Z99
كابِي	 X5.2- O4.3 W2 W4 X3.2 N5- O4.1 O4.3/A2.1 S1.2.5- S7.1- A5.1- 
عَشْرِيّ	Z99
تَهْوِيم	 B1 
شُوشَة	 N5- W3 L2 Q1.1 
بَغِيض	 O4.2- E2- 
أَنْسَأ	 T1.1.3 T4- 
شنايْدَر	Z99
مُحَوِّل	 A2.1+/Y2 O3 A2.1+ 
مُحَوِّلَة	 O3 A2.1+ 
حَيْلُولَة	 S8- 
حِياكَة	 B5 A1.1.1 A1.8+ M1 C1 
شاكِلَة	 S1.1.1 X4.2 O4.2+ A4.1 O4.4 Q1.2 O4.1 P1@ H5@ K5.1@ G2.1-@ B1@ T2+ A2.1+ A1.8+ A3+ A1.1.1 
مُحْتال	 G2.2- A5.2- G2.1/S2mf A9+/S2mf 
مِعْطَف	 B5 
هِيُو	 Z1m 
شَكِيب	Z99
هَيْهات	 Z5 A13.3 
عَواطِف	Z99
ٱِسْتَبْشَر	 E4.1+ Q2.2 S1.1.1 Z4 
نُزُوح	 M1/M7 M1 
مُشْكِل	 A12- X4.1 B2- 
شاكِي	 Q2.2/E2- G2.1/S2mf 
حَوَش	 S5+c S1.1.1 
مَشْكُوّ	 G2.1/S2mf 
حَوْسَنِيّ	Z99
مَنْزُوع	 S1.1.3- 
كَذّاب	 A5.2-/S2mf 
تَكْذِيب	 Q2.2/Z6 S7.4- 
نازِح	 N3.3+ S1.2.1- X5.1- M1/M7/S2mf 
هِيلْتُون	 Z3c Z1mf 
ٱِحْتاط	 M6 A1.8+ A10- K5.1 G3 
قافْكُو	Z99
شَكْو	 Q2.2/E2- 
مُشَكِّك	 A7-/S2mf A5.1-/X2.1 A7- 
حَوَّم	 O4.4 S5+c K4/H1@ M1 F4 M2 A11.1+ 
مَشْقُوق	 S3.1- 
زَفِر	 O4.5 
